Rank,Address,Address_Nametag,Quantity,Percentage,Value
"951","0xeb3276d522137d781c5cde37823991d27278df1b","","46,252.3131","0.0060%","$46,252.31"
"952","0x05de290f1490e4ebcf219b191e8ddc834c55eed1","","46,216.394991","0.0060%","$46,216.39"
"953","0x10283332a92d4f987b2c99e376218b032efa0af0","","46,199.300257","0.0060%","$46,199.30"
"954","0xa26f11748ed29b3fd62e1d8e231d277a0980fb12","","46,170.660333","0.0060%","$46,170.66"
"955","0x24baef342e1a6d0e3f4b0b4900788c1613ea76d2","","46,163.300521","0.0060%","$46,163.30"
"956","0xf455048b6e732fa7dca4e2144e224fd3cc80c055","","46,159.417935","0.0060%","$46,159.42"
"957","0x3e2ea963dfb95e76f4b976b2cc09c0677eb6323e","","46,003.935215","0.0060%","$46,003.94"
"958","0xe9a73729d8bdcc45ecd757878a313f85e25e6e4f","","45,950.692817","0.0060%","$45,950.69"
"959","0x2e941f2562ee356eb5a429b436323751bf77ad9d","","45,747.937787","0.0059%","$45,747.94"
"960","0xfd1b0c2bc257ffa9a13f1833ea5916242bb35b5f","","45,714.89182","0.0059%","$45,714.89"
"961","0x50072aa47d80a291b57607aa3f458007a41312d4","","45,609.377743","0.0059%","$45,609.38"
"962","0xcdcdb18e0eb647d2d1c7afecbc00105f0d5f9234","","45,584.544635","0.0059%","$45,584.54"
"963","0x58236fb6d5d4d7faec5e82b5d79db729e90e657b","","45,573.522928","0.0059%","$45,573.52"
"964","0xaa3ac6354af63f29ca20c0253a78333101a87970","","45,540.15","0.0059%","$45,540.15"
"965","0xd913c8def3b86080f52ff9de879c8bbdeb1150f4","","45,512.163742","0.0059%","$45,512.16"
"966","0xa399460ce767b06297457178d2f9f8f144017e77","","45,500.92","0.0059%","$45,500.92"
"967","0x98d2e5d62f64c21cfe4f1b1c22967429fbe25d89","","45,497.331765","0.0059%","$45,497.33"
"968","0x2b57dd50b70e1b4583c239140fd94f6008bf67dd","","45,429.799566","0.0059%","$45,429.80"
"969","0xb63038b0c3e1487686bd016b5115534c0a4160d1","","45,362.297359","0.0059%","$45,362.30"
"970","0xf9a51b92099e11a3e255f890e7d65e00e7bef0f7","","45,336.467104","0.0059%","$45,336.47"
"971","0xe3bb9cc4b8baeea8792a72f9445d223a1c18dcab","","45,258.385061","0.0059%","$45,258.39"
"972","0x29ce23241271f5f81854e308607b0549eba5dc6e","","45,248.4","0.0059%","$45,248.40"
"973","0xe0297a6fd55a9d700b414c55de009533dc2643b4","","45,102.68","0.0059%","$45,102.68"
"974","0x36da0bfe6e0cb2d84ee84b1d832e5b1693b76448","","45,096.551864","0.0059%","$45,096.55"
"975","0x575b48e6f56132e59f339c78866f31791ac3bddd","","45,065.824582","0.0059%","$45,065.82"
"976","0x668b708042b0acaeec12ac05dfc8d306ce9bcf55","","45,009.2","0.0058%","$45,009.20"
"977","0x9d21c3f6c1cb1fc1e1976445f9974aea82c6a50d","","45,006.495984","0.0058%","$45,006.50"
"978","0xbe2e51679e8a71dc1b57057e888f415425ec2bc1","","45,000.774761","0.0058%","$45,000.77"
"979","0x2baf71eee402ded2086fc7c71eda7d050767921f","","44,997.002996","0.0058%","$44,997.00"
"980","0x64aec4326d32499e9d38a40e22bbab1f2b74a848","","44,937.683033","0.0058%","$44,937.68"
"981","0x30ed65e470be4f351abf5311769505e3f977deca","","44,828.822682","0.0058%","$44,828.82"
"982","0x41b8ce8fce54a418d4a523205a6cc50f0c5beff8","","44,787.15502","0.0058%","$44,787.16"
"983","0x7427b2ef280bd2fc171b18a73ab15d1501052909","","44,747.4","0.0058%","$44,747.40"
"984","0x601d974a4aaec6ed72a2756b38fe3a2a88ed9237","","44,743.781147","0.0058%","$44,743.78"
"985","0xb71a7e5e67d5a1d57435b052ab5943b9ae09c5ca","","44,586.30323","0.0058%","$44,586.30"
"986","0x4bf7b97594bad0108523ddd0a23583e8600d1243","","44,575.977341","0.0058%","$44,575.98"
"987","0x6a9ff6fc38e960a39d1f30b3edcbd444b5c55a2f","","44,554.83778","0.0058%","$44,554.84"
"988","0x44dff869fbc36558e311f33c451dad66648a6bec","","44,500","0.0058%","$44,500.00"
"989","0x7bb16c49a21bf43c9155c1ed9b02aeb75bf774ac","","44,213.226","0.0057%","$44,213.23"
"990","0xd315a9c38ec871068fec378e4ce78af528c76293","Swaap Finance: Vault","44,152.980631","0.0057%","$44,152.98"
"991","0x662dc681cd945d30f457d3d5e5d74a370c3d0eee","","44,127.18575","0.0057%","$44,127.19"
"992","0x6fb795d4ed9e324c2f3e37b75b147dfc8412cc39","","44,055.9","0.0057%","$44,055.90"
"993","0x702edb62a39fdb28e3a78c15d40becc9c81f743c","","44,054.179705","0.0057%","$44,054.18"
"994","0x4d5fa1839aed8dce51c5fe3bc23f4fc08e02702e","","44,044.913695","0.0057%","$44,044.91"
"995","0xe50f76830aad25c83737cf7f7f1416632f435592","","44,000","0.0057%","$44,000.00"
"996","0x8f41f06fdd1afb9c62622b6414c55cbb9961eeb0","","43,867","0.0057%","$43,867.00"
"997","0x3b1e9fb2243275593bb758254d4a23b640bb6a95","","43,797.97287","0.0057%","$43,797.97"
"998","0xd91f5297257d9d76e16e7c96a0d6b2a6dfd2212f","","43,750.00801","0.0057%","$43,750.01"
"999","0xbb404e68c0b32c6918e4ab31e8dd41b80b8ff6cf","","43,743.312426","0.0057%","$43,743.31"
"1000","0x351fe0efab3827c577d072f3dc00f124474753d9","","43,629.84","0.0057%","$43,629.84"
