Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","131,903,090.604747","17.1336%","$131,903,090.60"
"2","0xf977814e90da44bfa03b6295a0616a897441acec","Binance: Hot Wallet","100,000,000","12.9896%","$100,000,000.00"
"3","0x88a1493366d48225fc3cefbdae9ebb23e323ade3","","40,200,042.7691","5.2218%","$40,200,042.77"
"4","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","24,906,136.533965","3.2352%","$24,906,136.53"
"5","0x0d0707963952f2fba59dd06f2b425ace40b492fe","Gate.io 1","18,909,153.582126","2.4562%","$18,909,153.58"
"6","0x505e71695e9bc45943c58adec1650577bca68fd9","Binance: Hot Wallet 4","16,426,294.930859","2.1337%","$16,426,294.93"
"7","0x290275e3db66394c52272398959845170e4dcb88","Binance: Hot Wallet 3","11,501,926.82821","1.4940%","$11,501,926.83"
"8","0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b","OKX 1","11,057,635.327363","1.4363%","$11,057,635.33"
"9","0x555e179d64335945fc6b155b7235a31b0a595542","Kraken 1","8,752,573.67958","1.1369%","$8,752,573.68"
"10","0x7043e4e1c4045424858ecbced80989feafc11b36","","7,067,447.818316","0.9180%","$7,067,447.82"
"11","0x019d0706d65c4768ec8081ed7ce41f59eef9b86c","","5,950,462.939336","0.7729%","$5,950,462.94"
"12","0x80b353cf70d864b6ada7b2cf49a060885b4906a1","","5,933,355.389765","0.7707%","$5,933,355.39"
"13","0xd5c08681719445a5fdce2bda98b341a49050d821","Binance US","4,720,712.89907","0.6132%","$4,720,712.90"
"14","0xfa0b641678f5115ad8a8de5752016bd1359681b9","Crypto.com 1","4,254,895.275961","0.5527%","$4,254,895.28"
"15","0x29e38769f23701a2e4a8ef0492e19da4604be62c","Stargate Finance: S*USDT Token","4,113,872.741836","0.5344%","$4,113,872.74"
"16","0x6ab707aca953edaefbc4fd23ba73294241490620","Aave: aUSDT Token V3","4,029,728.143899","0.5234%","$4,029,728.14"
"17","0x91dca37856240e5e1906222ec79278b16420dc92","","3,915,360.145701","0.5086%","$3,915,360.15"
"18","0x576b81f0c21edbc920ad63feeeb2b0736b018a58","MEXC.com 2","3,503,431.605496","0.4551%","$3,503,431.61"
"19","0xbd19c1af254953188ed78ee35904b6d26b18e5ee","","3,480,731.900398","0.4521%","$3,480,731.90"
"20","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","","3,448,140.110049","0.4479%","$3,448,140.11"
